particle_id,x,y,z
0,268.902008,154.610001,288.049011
1,292.811005,85.402000,147.425995
2,128.061996,224.901993,218.873993
3,183.626999,210.653000,129.026993
4,157.156006,78.692001,65.836998
5,6.094000,84.939003,285.779999
6,178.875000,299.420013,113.855003
7,224.979996,8.527000,56.443001
8,57.259998,280.042999,109.040001
9,93.098999,119.293999,90.371002
10,220.274994,174.966995,54.272999
11,105.105003,54.540001,220.552002
12,272.678009,213.712997,292.414001
13,192.546005,148.380005,283.872009
14,259.859985,0.620000,259.959015
15,248.210007,10.691000,236.628998
16,48.778000,216.417007,74.303001
17,235.421997,107.015999,178.960999
18,210.264999,156.147003,15.991000
19,19.239000,33.116001,272.954010
20,20.830999,62.221001,210.100006
21,242.261993,296.316010,231.039001
22,214.229004,268.808014,92.591003
23,103.318001,20.195999,39.421001
24,149.942001,20.660000,243.876007
25,266.695007,249.623001,23.895000
26,193.697006,288.667999,257.109009
27,203.154007,197.192001,196.072998
28,267.622986,68.255997,177.054993
29,75.237999,276.842987,281.126007
30,27.195999,31.134001,176.656998
31,74.389000,158.285995,168.574997
32,99.592003,45.984001,272.343994
33,49.098999,211.468002,183.003006
34,249.389008,79.549004,97.001999
35,203.660995,52.445000,47.750000
36,287.934998,51.223000,267.770996
37,251.662003,241.712997,13.851000
38,118.313004,129.203003,185.962997
39,205.878006,156.888000,247.785995
40,294.016998,264.890991,108.900002
41,264.542999,147.824005,221.675995
42,176.927002,199.085999,69.767998
43,201.158005,211.102997,265.177002
44,137.026001,164.792999,133.399994
45,202.061005,187.634003,59.823002
46,290.575012,134.707001,135.304001
47,128.557999,41.194000,245.126999
48,122.941002,142.559998,59.113998
49,219.473007,206.962006,242.007004
50,37.119999,60.630001,198.522995
51,142.936996,243.326996,190.434998
52,85.857002,131.695999,262.010986
53,31.940001,74.053001,37.094002
54,126.416000,147.917007,13.548000
55,293.023987,286.518005,229.701996
56,226.651993,125.716003,31.252001
57,283.321991,174.585007,270.558990
58,149.279999,261.092010,167.860001
59,157.136002,263.855011,281.959991
60,97.657997,159.695999,1.222000
61,225.490997,83.223000,132.815994
62,253.929001,6.053000,115.224998
63,134.973007,138.807999,188.365005
64,54.764999,191.975006,204.957001
65,171.779007,240.462997,188.444000
66,205.863007,260.737000,119.097000
67,176.740997,279.713989,80.237000
68,212.826996,47.882999,227.828003
69,122.473000,181.061005,105.655998
70,214.255997,141.738007,177.123993
71,91.082001,232.311005,193.054001
72,211.154007,120.592003,15.144000
73,264.169006,211.257004,218.436005
74,13.675000,285.131012,16.537001
75,13.044000,93.107002,293.963013
76,47.102001,113.288002,270.971985
77,141.218002,196.024994,239.522003
78,57.297001,25.048000,186.630005
79,185.399994,1.261000,90.080002
80,153.529999,135.992004,202.384003
81,249.194000,207.039001,188.789001
82,8.228000,81.342003,33.304001
83,218.466995,102.686996,124.478996
84,136.757996,39.722000,155.860001
85,64.852997,42.248001,184.787003
86,128.612000,179.432007,24.624001
87,58.303001,98.377998,78.425003
88,180.395996,227.130005,174.582993
89,174.776001,264.720001,289.731995
90,178.664993,38.102001,158.276993
91,270.084015,11.260000,132.766006
92,13.762000,164.164001,34.103001
93,10.035000,32.518002,222.246002
94,259.220001,200.789993,287.096008
95,89.100998,225.414993,227.845993
96,261.480011,224.246994,123.610001
97,233.626007,44.173000,2.928000
98,245.341995,153.591003,242.182999
99,186.470001,70.105003,135.320007
100,161.884995,292.459015,39.731998
101,1.944000,252.705994,210.550003
102,14.201000,260.536011,254.266998
103,197.656998,33.979000,263.859009
104,274.851990,251.181000,202.274002
105,40.400002,179.815002,52.445000
106,121.603996,30.629000,21.621000
107,46.087002,273.352997,180.158005
108,30.878000,241.283997,184.033005
109,65.043999,167.278000,189.421005
110,121.679001,141.990997,5.929000
111,13.962000,269.815002,105.781998
112,245.485992,25.392000,23.742001
113,62.480999,185.785004,250.210007
114,244.662003,177.591995,81.763000
115,173.356995,3.535000,236.957993
116,296.872986,258.229004,28.535000
117,68.709000,289.838013,207.925995
118,251.466995,19.337000,212.757996
119,111.053001,218.369995,249.119003
120,104.257004,76.629997,237.625000
121,65.890999,251.750000,42.862000
122,128.294006,291.075012,43.903999
123,24.243000,82.853996,149.891998
124,274.093994,27.354000,101.963997
125,51.669998,292.140991,259.970001
126,197.128998,40.574001,74.738998
127,209.082993,210.238007,19.976999
128,147.302994,90.362000,124.742996
129,154.921997,131.300003,146.089005
130,11.996000,77.445999,67.484001
131,55.994999,119.200996,77.820999
132,71.257004,112.231003,267.765991
133,8.172000,53.328999,91.599998
134,10.535000,54.516998,178.264008
135,169.968994,222.007996,41.412998
136,161.350998,38.620998,218.664001
137,223.981995,188.169006,123.639999
138,65.919998,78.706001,89.771004
139,298.226990,56.383999,177.468002
140,90.728996,194.410995,80.984001
141,162.347000,132.981003,143.955002
142,257.420990,152.425995,144.625000
143,181.022003,64.910004,249.164001
144,63.313999,108.871002,176.641006
145,23.865000,196.298004,199.675003
146,178.500000,60.550999,200.347000
147,126.144997,174.227997,79.358002
148,174.149002,139.794006,35.477001
149,20.548000,5.781000,119.017998
150,174.830002,252.158997,289.283997
151,146.309998,93.383003,15.967000
152,198.054001,200.886002,162.914001
153,81.777000,150.746002,146.701996
154,31.009001,6.708000,42.706001
155,100.985001,139.733994,293.895996
156,1.491000,245.319000,108.563004
157,81.748001,7.032000,217.223999
158,80.550003,137.830994,252.399002
159,150.113007,229.371994,175.798004
160,192.798004,270.078003,280.721008
161,260.463989,110.875999,53.352001
162,200.244995,136.285995,268.933014
163,263.963013,267.141998,49.269001
164,106.335999,226.153000,125.815002
165,223.867004,21.136000,20.239000
166,34.681000,52.401001,22.754000
167,221.261993,181.606995,23.854000
168,44.271000,185.792007,233.716003
169,9.573000,31.364000,229.238998
170,150.606995,285.979004,206.987000
171,256.777008,157.751007,191.570999
172,266.243011,26.341999,62.896000
173,55.938999,29.166000,194.541000
174,63.441002,47.376999,53.382000
175,27.226000,64.116997,291.256012
176,155.001999,64.906998,113.723999
177,234.470001,181.304993,196.125000
178,281.264008,129.102997,23.025000
179,212.102997,50.737999,227.507996
180,230.261002,92.266998,156.401001
181,182.139999,131.362000,134.345001
182,94.125999,269.756012,64.032997
183,276.011993,222.985001,170.878998
184,27.011000,112.497002,247.059006
185,250.380005,60.473999,120.608002
186,87.185997,294.536987,30.563999
187,16.004999,146.544006,42.828999
188,250.244003,92.824997,265.600006
