cell_idx,particle_id,x,y,z
0,167,84.383003,62.143002,40.875999
0,1833,55.551998,75.309998,4.619000
0,3039,64.535004,96.961998,39.237999
0,3904,50.972000,18.381001,8.016000
0,5458,89.427002,80.731003,32.467999
0,6691,70.984001,96.734001,49.291000
0,6735,19.400000,76.497002,20.160000
0,9180,62.110001,47.549999,57.179001
0,9867,47.439999,65.981003,8.359000
0,10585,61.941002,16.600000,40.106998
0,10918,38.797001,26.393999,35.292999
0,11320,0.892000,56.577999,5.646000
0,12064,83.052002,47.481998,75.454002
0,14688,72.375999,41.025002,88.231003
100,386,20.058001,3.764000,165.309006
100,916,34.390999,11.498000,110.049004
100,1824,54.645000,90.227997,124.777000
100,4015,34.819000,93.530998,133.738007
100,4949,45.924000,16.471001,127.741997
100,5139,89.188004,74.795998,109.396004
100,6436,40.449001,67.166000,126.809998
100,7505,24.028000,9.325000,146.470993
100,8167,57.244999,84.786003,156.916000
100,8409,6.975000,47.782001,145.723007
100,9968,2.966000,22.767000,187.195007
100,10842,91.063004,39.362999,132.839005
100,11260,95.462997,9.452000,103.556999
100,11992,61.314999,59.433998,136.820007
100,12846,69.271004,82.876999,132.514999
100,15125,39.102001,44.832001,137.190994
100,15639,19.972000,11.677000,187.410004
200,375,5.337000,43.764000,218.386002
200,531,80.434998,92.657997,273.311005
200,1187,71.739998,96.209999,229.022003
200,1704,86.295998,22.193001,292.821014
200,3592,74.861000,82.041000,213.410004
200,4468,32.263000,3.797000,203.600006
200,4661,6.864000,93.934998,200.526001
200,7199,93.130997,28.027000,209.751007
200,7786,66.914001,47.174000,285.760986
200,8356,36.000999,68.052002,251.802994
200,12011,78.615997,21.059999,242.447998
200,12625,31.993000,31.635000,234.559006
300,947,7.226000,78.332001,305.737000
300,964,6.382000,94.455002,324.279999
300,1875,72.738998,52.498001,318.157013
300,3347,2.879000,33.848000,389.023987
300,3504,84.894997,16.254999,342.531006
300,6197,47.250000,90.859001,330.145996
300,7142,44.759998,39.146999,379.531006
300,7878,40.518002,78.496002,318.756012
300,8899,3.158000,26.292999,399.862000
300,10096,52.792999,98.564003,354.306000
300,13018,15.518000,36.875000,349.339996
300,13498,94.125999,37.780998,330.291992
400,810,34.855000,22.459000,429.651001
400,1193,60.223999,99.588997,435.944000
400,1200,89.320000,45.862999,402.802002
400,1982,34.655998,79.843002,467.684998
400,2513,45.004002,57.522999,403.109985
400,3265,86.411003,81.030998,498.372009
400,4346,91.602997,38.837002,479.567993
400,6172,77.028000,69.759003,442.989014
400,7589,95.290001,79.333000,400.463989
400,8099,87.959000,90.781998,403.822998
400,8596,78.899002,34.158001,422.157990
400,12579,73.536003,99.773003,462.015991
400,13833,55.345001,18.159000,400.772003
400,14305,33.062000,82.555000,424.802002
400,15803,36.463001,48.328999,401.031006
500,584,35.384998,20.877001,592.205017
500,2130,15.217000,80.994003,530.408997
500,2243,78.971001,54.611000,534.648987
500,3150,26.389999,71.623001,546.489990
500,3155,15.345000,6.779000,597.335022
500,3268,55.437000,24.163000,552.466980
500,3927,23.516001,84.736000,522.348022
500,3945,58.734001,72.734001,539.502014
500,3961,3.391000,90.462997,537.318970
500,4546,73.139000,69.200996,572.213013
500,6075,95.518997,33.945999,525.731018
500,6807,21.224001,86.226997,536.039001
500,8873,91.254997,27.230000,526.916016
500,12960,30.978001,38.917999,554.617004
500,14136,77.606003,76.871002,511.859985
500,15537,21.157000,23.792000,560.544006
500,15538,24.289000,45.723000,533.224976
500,15925,64.726997,69.773003,565.101990
600,3667,80.797997,90.716003,622.265015
600,3963,21.665001,98.981003,615.453003
600,8343,84.693001,96.157997,635.223022
600,10659,75.036003,22.212000,686.677002
600,12192,58.612999,74.899002,656.469971
600,12222,34.546001,68.305000,629.452026
600,13113,89.744003,62.160999,641.892029
600,15314,23.270000,58.914001,606.245972
700,659,20.812000,12.814000,763.273010
700,2709,84.768997,51.105000,765.622009
700,4155,58.119999,60.341000,796.880981
700,5718,84.016998,11.145000,783.145996
700,6041,97.611000,32.637001,781.138000
700,6438,50.945000,55.424999,705.166016
700,6773,11.831000,96.205002,773.815979
700,7535,28.481001,44.043999,721.431030
700,7600,81.632004,65.350998,715.929993
700,8377,20.865000,91.845001,751.377014
700,9310,86.665001,46.709999,770.940979
700,10352,14.598000,51.222000,720.767029
700,10634,41.009998,86.967003,718.620972
700,10704,50.094002,98.601997,760.406982
700,11211,1.084000,51.770000,737.028992
700,16212,8.251000,75.105003,708.395996
800,294,1.011000,55.693001,880.465027
800,1616,44.088001,92.042000,803.796021
800,1901,99.344002,72.510002,869.226990
800,3628,6.061000,75.551003,864.643982
800,6129,75.193001,34.296001,806.479980
800,6230,44.676998,13.851000,856.854004
800,10389,13.902000,86.280998,817.523987
800,13876,75.592003,86.129997,864.525024
800,14278,10.051000,63.073002,844.244995
800,14913,5.737000,18.851000,893.908020
800,15094,22.938000,63.620998,842.208008
800,16232,99.416000,25.172001,895.846008
900,1186,98.050003,84.921997,907.203003
900,2159,67.303001,12.078000,967.497009
900,4035,27.819000,94.273003,951.924988
900,6557,54.161999,66.130997,966.460022
900,8135,32.436001,74.359001,928.309998
900,9686,37.801998,65.276001,936.638000
900,10398,85.862000,70.288002,970.403015
900,11079,39.021000,86.860001,939.174011
900,14019,7.863000,83.136002,943.482971
900,14042,63.800999,65.346001,984.632996
900,14738,30.511000,84.283997,971.492981
900,15223,64.764999,64.647003,901.765991
900,15255,74.198997,99.966003,966.857971
900,15991,42.542999,2.754000,934.586975
10,1619,76.186996,166.979004,43.584999
10,1834,63.729000,162.677002,70.972000
10,2766,38.325001,196.158997,5.030000
10,4990,66.234001,166.427002,54.458000
10,5364,15.966000,131.723999,74.575996
10,7079,83.452003,124.959000,56.425999
10,7191,3.364000,156.569000,50.662998
10,7726,1.990000,110.689003,19.996000
10,7998,48.092999,153.957993,10.400000
10,8042,50.140999,110.204002,28.527000
10,8075,9.052000,163.604996,60.494999
10,8250,40.581001,197.610992,59.851002
10,8313,70.475998,139.274994,11.352000
10,8552,20.318001,121.713997,17.240000
10,9019,86.524002,128.162003,50.261002
10,9440,82.811996,195.173004,76.717003
10,10515,54.117001,160.938004,58.044998
10,10553,13.230000,156.110992,38.702999
10,10788,80.622002,188.248993,65.191002
10,11029,13.475000,118.467003,38.972000
10,11158,78.032997,148.869003,1.852000
10,14040,74.021004,160.966003,91.056999
10,14475,93.612999,194.466003,2.617000
10,15830,72.169998,114.315002,39.327000
10,16263,57.577999,140.266006,52.613998
110,82,37.002998,134.563004,180.684998
110,783,68.388000,185.852997,143.768997
110,1432,41.374001,178.024002,139.270004
110,2010,23.830000,139.755997,194.100998
110,2296,87.969002,129.199997,157.091003
110,2677,76.574997,181.005005,140.837997
110,5335,52.201000,196.369003,189.026993
110,7725,55.195999,186.667999,172.182007
110,8283,94.038002,128.244995,108.619003
110,8991,42.428001,125.914001,175.429001
110,9273,65.612000,106.824997,198.554001
110,11611,50.286999,119.532997,161.451004
110,12390,9.419000,129.626999,116.471001
110,13203,93.299004,192.511002,169.807007
110,13689,41.264999,141.042007,143.475006
110,14586,7.959000,180.380005,197.376999
110,14589,66.495003,134.740005,182.979004
210,1864,79.865997,142.505997,204.022003
210,1890,93.250999,138.695999,234.705994
210,1909,73.963997,106.265999,216.309006
210,2008,78.279999,107.655998,271.031006
210,3419,35.612000,119.070000,256.799988
210,5115,84.021004,162.761002,279.549988
210,7855,87.408997,116.203003,202.205994
210,9276,39.687000,158.716003,237.169998
210,9590,67.760002,134.867996,299.197998
210,10045,72.642998,131.682007,282.167999
210,12934,56.833000,149.110001,256.141998
210,13382,18.815001,138.074005,247.988007
210,14066,1.355000,114.652000,216.302002
210,14072,32.271000,193.153000,265.250000
210,14345,13.542000,179.591003,296.651001
210,14381,22.152000,185.128006,281.446991
210,15915,80.404999,175.356995,299.290009
210,16178,78.178001,184.475998,280.407990
210,16208,55.639000,189.759003,226.845993
310,623,41.985001,187.119003,308.183990
310,1087,16.815001,189.733994,330.790985
310,1488,60.438999,149.632996,336.337006
310,3147,84.008003,169.192001,379.122009
310,3617,70.084999,103.857002,312.197998
310,4353,10.850000,136.403000,351.006012
310,4826,9.040000,136.819000,369.264008
310,5224,67.397003,191.389999,397.968994
310,6277,35.095001,154.792999,327.894012
310,6933,11.674000,150.694000,379.203003
310,8127,26.941000,102.230003,394.631989
310,8553,95.747002,133.352005,321.345001
310,8653,67.494003,166.919006,367.100006
310,9071,52.617001,116.551003,322.959991
310,9219,89.088997,111.116997,384.114990
310,9259,0.467000,133.869995,309.782990
310,9352,55.026001,163.863998,397.548004
310,10138,37.173000,135.423996,369.170013
